pos	category	lemma	offensiveness_score
3 sostantivo	ddp; cds	spioni	2.2103878266075405
3 sostantivo	cds; svp	spocchia	2.0937111384916145
3 sostantivo	cds; svp	spocchie	2.0937111384916145
1 aggettivo	cds; svp	spocchiosa	2.0937111384916145
1 aggettivo	cds; svp	spocchiose	2.0937111384916145
1 aggettivo	cds; svp	spocchiosi	2.0937111384916145
1 aggettivo	cds; svp	spocchioso	2.0937111384916145
3 sostantivo	an	spogliatore	3.265526741676701
3 sostantivo	an	spogliatori	3.265526741676701
3 sostantivo	an	spogliatrice	3.265526741676701
3 sostantivo	an	spogliatrici	3.265526741676701
3 sostantivo	re	spoliazione	3.265526741676701
3 sostantivo	re	spoliazioni	3.265526741676701
4 verbo	cds	spompinamelo	5
4 verbo	cds	spompinano	5
4 verbo	cds	spompinare	5
3 sostantivo	cds	spompinata	4.731971447288265
3 sostantivo	cds	spompinate	4.731971447288265
4 verbo	cds	spompinate	5
4 verbo	cds	spompinatemelo	5
3 sostantivo	cds	spompinati	4.731971447288265
3 sostantivo	cds	spompinato	4.731971447288265
2 sostantivo, aggettivo	dmc; re; cds; pr; mi	sporca	2.823125271455276
3 sostantivo	an; dmc; pr; mi	sporcacciona	2.3224448358828065
3 sostantivo	an; dmc; pr; mi	sporcaccione	2.3224448358828065
3 sostantivo	an; dmc; pr; mi	sporcaccioni	2.3224448358828065
2 sostantivo, aggettivo	dmc; re; cds; pr; mi	sporche	2.823125271455276
2 sostantivo, aggettivo	dmc; re; cds; pr; mi	sporchi	2.823125271455276
1 aggettivo	dmc; pr; mi; cds	sporchissima	2.712682981554455
1 aggettivo	dmc; pr; mi; cds	sporchissime	2.712682981554455
1 aggettivo	dmc; pr; mi; cds	sporchissimi	2.712682981554455
1 aggettivo	dmc; pr; mi; cds	sporchissimo	2.712682981554455
3 sostantivo	cds	sporchizia	2.823125271455276
3 sostantivo	cds	sporchizie	2.823125271455276
3 sostantivo	cds	sporcizia	2.823125271455276
3 sostantivo	cds	sporcizie	2.823125271455276
2 sostantivo, aggettivo	dmc; re; cds; pr; mi	sporco	2.823125271455276
1 aggettivo	ddp; cds	spostata	1.9367887836653956
1 aggettivo	ddp; cds	spostate	1.9367887836653956
1 aggettivo	ddp; cds	spostati	1.9367887836653956
