babelnet_id,lemma,sense_lemma,pos,examples,glosses,categories
bn:00103942a,fort,strong,ADJ,Hard liquor,Being distilled rather than fermented; having a high alcoholic content,
bn:00103195a,fort,forceful,ADJ,A forceful personality | A forceful plan for peace | A forceful speaker | Forceful measures,Characterized by or full of force or strength (often but not necessarily physical),
bn:00035985n,fort,forte,NOUN,,The stronger part of a sword blade between the hilt and the foible,Articles_with_short_description | Fencing | Fencing_stubs | Swordsmanship
bn:00035974n,fort,garrison,NOUN,,A fortified military post where troops are stationed,
bn:00035974n,fort,fort,NOUN,,A fortified military post where troops are stationed,
bn:00103938a,fort,hard,ADJ,A hard left to the chin | A knockout punch | A severe blow | Strong winds,Very strong or vigorous,
bn:00103938a,fort,knockout,ADJ,A hard left to the chin | A knockout punch | A severe blow | Strong winds,Very strong or vigorous,
bn:00103938a,fort,severe,ADJ,A hard left to the chin | A knockout punch | A severe blow | Strong winds,Very strong or vigorous,
bn:00035975n,fort,fortress,NOUN,,A fortified defensive structure,All_articles_needing_additional_references | Articles_with_short_description | Engineering_barrages | Fortification | Forts | Military_installations | Military_strategy | Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference | Wikipedia_articles_incorporating_text_from_the_1911_Encyclopædia_Britannica
bn:00035975n,fort,fort,NOUN,,A fortified defensive structure,All_articles_needing_additional_references | Articles_with_short_description | Engineering_barrages | Fortification | Forts | Military_installations | Military_strategy | Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference | Wikipedia_articles_incorporating_text_from_the_1911_Encyclopædia_Britannica
bn:00108863a,fort,potent,ADJ,A potent cup of tea | A potent toxin | A stiff drink | Potent liquor,"Having a strong physiological or chemical effect | Having a strong physiological or chemical effect, ""a stiff drink""",
bn:00108863a,fort,strong,ADJ,A potent cup of tea | A potent toxin | A stiff drink | Potent liquor,"Having a strong physiological or chemical effect | Having a strong physiological or chemical effect, ""a stiff drink""",
bn:00108863a,fort,stiff,ADJ,A potent cup of tea | A potent toxin | A stiff drink | Potent liquor,"Having a strong physiological or chemical effect | Having a strong physiological or chemical effect, ""a stiff drink""",
bn:00108862a,fort,potent,ADJ,Providing the ground soldier with increasingly potent weapons,Having or wielding force or authority,
bn:00108862a,fort,strong,ADJ,Providing the ground soldier with increasingly potent weapons,Having or wielding force or authority,
bn:00111210a,fort,stiff,ADJ,A stiff breeze | A stiff current,"Powerful | Strong, vigorous",
bn:00114243r,fort,loudly,ADV,Cried aloud for help | He spoke loud enough for those at the back of the room to hear him | She spoke loudly and angrily | The band played loudly,With relatively high volume,
bn:00114243r,fort,loud,ADV,Cried aloud for help | He spoke loud enough for those at the back of the room to hear him | She spoke loudly and angrily | The band played loudly,With relatively high volume,
bn:00114243r,fort,aloud,ADV,Cried aloud for help | He spoke loud enough for those at the back of the room to hear him | She spoke loudly and angrily | The band played loudly,With relatively high volume,
bn:00111313a,fort,strong,ADJ,A strong odor of burning rubber,Not faint or feeble,
bn:00064222n,économie,preservation,NOUN,,The activity of protecting something from loss or danger,
bn:00064222n,économie,saving,NOUN,,The activity of protecting something from loss or danger,
bn:00060754n,économie,parsimony,NOUN,,Extreme care in spending money; reluctance to spend money unnecessarily,
bn:00060754n,économie,parsimoniousness,NOUN,,Extreme care in spending money; reluctance to spend money unnecessarily,
bn:00060754n,économie,thrift,NOUN,,Extreme care in spending money; reluctance to spend money unnecessarily,
bn:00060754n,économie,penny-pinching,NOUN,,Extreme care in spending money; reluctance to spend money unnecessarily,
bn:00029685n,économie,economy,NOUN,It was a small economy to walk to work every day | There was a saving of 50 cents,An act of economizing; reduction in cost,All_articles_needing_additional_references | Articles_with_multiple_maintenance_issues | Consumer_theory | Intertemporal_economics | Personal_finance
bn:00029685n,économie,saving,NOUN,It was a small economy to walk to work every day | There was a saving of 50 cents,An act of economizing; reduction in cost,All_articles_needing_additional_references | Articles_with_multiple_maintenance_issues | Consumer_theory | Intertemporal_economics | Personal_finance
bn:00029683n,économie,economy,NOUN,Economy of effort,The efficient use of resources,
bn:00029678n,économie,economy,NOUN,,The system of production and distribution and consumption,Articles_with_short_description | Economic_systems | Economy | Main_topic_articles | Management_cybernetics | Political_economy | Webarchive_template_wayback_links
bn:00029678n,économie,economic_system,NOUN,,The system of production and distribution and consumption,Articles_with_short_description | Economic_systems | Economy | Main_topic_articles | Management_cybernetics | Political_economy | Webarchive_template_wayback_links
bn:00029676n,économie,economics,NOUN,,The branch of social science that deals with the production and distribution and consumption of goods and services and their management,Articles_with_permanently_dead_external_links | Articles_with_short_description | Critique_of_political_economy | Economic_systems | Economic_theories | Economics | Political_economy | Schools_of_economic_thought | _long_volume_value
bn:00029676n,économie,economic_science,NOUN,,The branch of social science that deals with the production and distribution and consumption of goods and services and their management,Articles_with_permanently_dead_external_links | Articles_with_short_description | Critique_of_political_economy | Economic_systems | Economic_theories | Economics | Political_economy | Schools_of_economic_thought | _long_volume_value
bn:00029676n,économie,political_economy,NOUN,,The branch of social science that deals with the production and distribution and consumption of goods and services and their management,Articles_with_permanently_dead_external_links | Articles_with_short_description | Critique_of_political_economy | Economic_systems | Economic_theories | Economics | Political_economy | Schools_of_economic_thought | _long_volume_value
bn:00029684n,économie,economy,NOUN,The Scots are famous for their economy,Frugality in the expenditure of money or resources,
bn:00029684n,économie,thriftiness,NOUN,The Scots are famous for their economy,Frugality in the expenditure of money or resources,
bn:00096218a,ridicule,absurd,ADJ,A contribution so small as to be laughable | A preposterous attempt to turn back the pages of history | Ask a nonsensical question and get a nonsensical answer | Her conceited assumption of universal interest in her rather dull children was ridiculous | It is ludicrous to call a cottage a mansion | That's a cockeyed idea | The absurd excuse that the dog ate his homework,Incongruous;inviting ridicule | So unreasonable as to invite derision,
bn:00096218a,ridicule,cockeyed,ADJ,A contribution so small as to be laughable | A preposterous attempt to turn back the pages of history | Ask a nonsensical question and get a nonsensical answer | Her conceited assumption of universal interest in her rather dull children was ridiculous | It is ludicrous to call a cottage a mansion | That's a cockeyed idea | The absurd excuse that the dog ate his homework,Incongruous;inviting ridicule | So unreasonable as to invite derision,
bn:00096218a,ridicule,derisory,ADJ,A contribution so small as to be laughable | A preposterous attempt to turn back the pages of history | Ask a nonsensical question and get a nonsensical answer | Her conceited assumption of universal interest in her rather dull children was ridiculous | It is ludicrous to call a cottage a mansion | That's a cockeyed idea | The absurd excuse that the dog ate his homework,Incongruous;inviting ridicule | So unreasonable as to invite derision,
bn:00096218a,ridicule,idiotic,ADJ,A contribution so small as to be laughable | A preposterous attempt to turn back the pages of history | Ask a nonsensical question and get a nonsensical answer | Her conceited assumption of universal interest in her rather dull children was ridiculous | It is ludicrous to call a cottage a mansion | That's a cockeyed idea | The absurd excuse that the dog ate his homework,Incongruous;inviting ridicule | So unreasonable as to invite derision,
bn:00096218a,ridicule,laughable,ADJ,A contribution so small as to be laughable | A preposterous attempt to turn back the pages of history | Ask a nonsensical question and get a nonsensical answer | Her conceited assumption of universal interest in her rather dull children was ridiculous | It is ludicrous to call a cottage a mansion | That's a cockeyed idea | The absurd excuse that the dog ate his homework,Incongruous;inviting ridicule | So unreasonable as to invite derision,
bn:00096218a,ridicule,ludicrous,ADJ,A contribution so small as to be laughable | A preposterous attempt to turn back the pages of history | Ask a nonsensical question and get a nonsensical answer | Her conceited assumption of universal interest in her rather dull children was ridiculous | It is ludicrous to call a cottage a mansion | That's a cockeyed idea | The absurd excuse that the dog ate his homework,Incongruous;inviting ridicule | So unreasonable as to invite derision,
