ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
IT3901,crepare,verb,Synset('omw-iwn-00358431-v'),"['decedere', 'passare a miglior vita', 'andare in cielo', 'andare al Creatore', ""andare all'altro mondo"", 'andare', 'finire', 'trapassare', 'crepare', 'schiantare', 'mancare', 'dipartirsi', 'morire']","venir meno, morire",omw,"Possono anche crepare tutti di fame e di sete, di freddo e di caldo.",se,,,,,,,,
IT1307,basso,adjective,Synset('omw-iwn-01206474-a'),['basso'],"Vile, abietto",sc,Populista è colui che segue i bassi istinti e gli umori della gente.,se,,,,,,,,
IT4350,ideologico,adjective,Synset('omw-iwn-00012932-a'),['ideologico'],"Condizionato da idee preconcette, da pregiudizi",sc,Più che un rifiuto ideologico della globalizzazione suggeriscono una sua visione alternativa.,se,,,,,,,,
IT1456,feccia,noun,Synset('omw-iwn-08402147-n'),"['feccia', 'ciurma', 'plebaglia', 'marmaglia', 'ciurmaglia', 'teppa', 'gentaglia', 'genia', 'canaglia']",la parte peggiore di un gruppo sociale di una comunità,omw,Perché scelgono di allearsi con la peggiore feccia politica?,se,,,,,,,,
IT153,complice,noun,Synset('omw-iwn-09759875-n'),"['complice', 'corresponsabile', 'correo']",chi aiuta altri a commettere un delitto o un'azione disonesta,omw,Per non essere complici del silenzio e del massacro.,se,,,,,,,,
IT3744,cieco,noun,Synset('omw-iwn-09860130-n'),"['cieco', 'non vedente', 'orbo']",Chi è privo della ragione.,dm,Passiamo un decimo della nostra vita da svegli completamente ciechi.,se,,,,,,,,
IT4109,gallina,noun,Synset('omw-iwn-01792640-n'),['gallina'],Donna poco intelligente.,dm,"Parla del topic invece di parlare di me, altrimenti comincio anche io a dire che sei una gallina senzatesta.",se,,,,,,,,
IT4288,fascista,adjective,Synset('omw-iwn-02920769-a'),['fascista'],del fascismo,omw,Orridi e ripugnanti rituali di tipo esplicitamente fascista.,se,,,,,,,,
IT1304,cattivo,adjective,Synset('omw-iwn-00997036-a'),"['cattivo', 'avverso', 'negativo', 'sfavorevole', 'infausto']","sfavorevole, svantaggioso",omw,Nonostante questo cattivo presagio Geoffrey Winthrop Young spinse la comitiva a continuare e a salire la parete.,se,,,,,,,,
IT1365,casta,noun,Synset('omw-iwn-08306194-n'),['casta'],"in senso spregiativo categoria sociale o professionale chiusa, i cui componenti godono di speciali diritti o privilegi",omw,"Non vi è Patria dove l'uniformità di quel diritto è violata dall'esistenza di caste, di privilegi, d'ineguaglianze.",se,,,,,,,,
